序号,按音序排列,检字表,题型,子题型,题目,答案,选项一,选项二,选项三,选项四
474,J,接,选择题,3选1,移花接木,接,截,接,节,
476,J,节,选择题,3选1,盘根错节,节,节,结,接,
477,J,节,选择题,3选1,不拘小节,节,节,结,诘,
478,J,节,选择题,3选1,细枝末节,节,结,节,截,
482,J,竭,选择题,3选1,尽心竭力,竭,竭,极,接,
483,J,诫,选择题,3选1,谆谆告诫,诫,戒,诫,诘,
486,J,津,选择题,3选1,无人问津,津,斤,津,金,
490,J,兢,选择题,3选1,战战兢兢,兢兢,惊惊,兢兢,菁菁,
491,J,兢,选择题,3选1,兢兢业业,兢兢,兢兢,精精,惊惊,
494,J,儆,选择题,3选1,以儆效尤,儆,警,儆,敬,
495,J,净,选择题,3选1,耳根清净,净,静,净,精,
496,J,胫,选择题,3选1,不胫而走,胫,胫,径,经,
507,J,诀,选择题,3选1,永诀,诀,诀,决,绝,
508,J,绝,选择题,3选1,绝无仅有,绝,决,诀,绝,
509,J,绝,选择题,3选1,赞不绝口,绝,决,诀,绝,
510,J,绝,选择题,3选1,绝对服从,绝,决,诀,绝,
514,J,浚,选择题,3选1,疏浚,浚,浚,峻,竣,
515,J,竣,选择题,3选1,竣工验收,竣,峻,浚,竣,
516,J,竣,选择题,3选1,如期竣工,竣,峻,浚,竣,
520,K,科,选择题,3选1,作奸犯科,科,课,科,稞,
521,K,科,选择题,3选1,照本宣科,科,课,科,稞,
523,K,颗,选择题,3选1,颗粒归仓,颗,棵,颗,稞,
527,K,睽,选择题,3选1,众目睽睽,睽睽,暌暌,睽睽,奎奎,
531,L,赖,选择题,3选1,死皮赖脸,赖,赖,癞,濑,
532,L,蓝,选择题,3选1,蓝天白云,蓝,兰,蓝,岚,
536,L,揽,选择题,3选1,收揽人心,揽,来,揽,拦,
541,L,雷,选择题,3选1,大多雷同,雷,雷,类,磊,
551,L,理,选择题,3选1,入情入理,理,礼,厘,理,
552,L,理,选择题,3选1,伤天害理,理,礼,厘,理,
553,L,理,选择题,3选1,天理难容,理,理,礼,厘,
554,L,理,选择题,3选1,通情达理,理,礼,理,厘,
555,L,理,选择题,3选1,知书达理,理,理,礼,厘,
556,L,理,选择题,3选1,心安理得,理,礼,理,厘,
558,L,力,选择题,3选1,同等学力,力,历,利,力,
559,L,力,选择题,3选1,自力更生,力,立,利,力,
560,L,力,选择题,3选1,自食其力,力,力,利,立,
561,L,历,选择题,3选1,历历在目,历历,历历,厉厉,利利,
576,L,连,选择题,3选1,藕断丝连,连,连,联,莲,
577,L,连,选择题,3选1,留连忘返,连,连,恋,怜,
588,L,鳞,选择题,3选1,一鳞半爪,鳞,鳞,麟,磷,
589,L,吝,选择题,3选1,不吝赐教,吝,吝,另,令,
591,L,流,选择题,3选1,流连忘返,流,流,留,琉,
592,L,流,选择题,3选1,流芳百世,流,流,留,琉,
593,L,陇,选择题,3选1,得陇望蜀,陇,垄,陇,笼,
595,L,碌,选择题,3选1,庸庸碌碌,碌碌,录录,碌碌,琭琭,
596,L,戮,选择题,3选1,戮力同心,戮,戮,戳,剹,
597,L,膂,选择题,3选1,膂力过人,膂,旅,膂,履,
598,L,掠,选择题,3选1,浮光掠影,掠,略,掠,剠,
599,L,略,选择题,3选1,攻城略地,略,掠,略,剠,
605,M,马,选择题,3选1,蛛丝马迹,马,马,蚂,码,
610,M,贸,选择题,3选1,贸然从事,贸,贸,冒,貌,
613,M,懑,选择题,3选1,懑闷不平,懑,懑,愤,奋,
615,M,弥,选择题,3选1,弥天大谎,弥,弥,迷,谜,
616,M,弥,选择题,3选1,欲盖弥彰,弥,弥,迷,谜,
617,M,迷,选择题,3选1,执迷不悟,迷,迷,弥,谜,
627,M,秘,选择题,3选1,秘而不宣,秘,密,秘,蜜,
628,M,秘,选择题,3选1,祖传秘方,秘,密,秘,蜜,
629,M,绵,选择题,3选1,绵里藏针,绵,棉,绵,婂,
630,M,湎,选择题,3选1,沉湎往事,湎,缅,湎,偭,
631,M,缅,选择题,3选1,缅怀先烈,缅,缅,湎,偭,
632,M,缈,选择题,3选1,虚无缥缈,缈,渺,缈,秒,
633,M,藐,选择题,3选1,藐视,藐,藐,缈,渺,
635,M,名,选择题,3选1,不名一文,名,明,名,铭,
636,M,名,选择题,3选1,莫名其妙,名,名,铭,明,
637,M,名,选择题,3选1,巧立名目,名,明,铭,名,
638,M,名,选择题,3选1,至理名言,名,明,铭,名,
639,M,名,选择题,3选1,莫可名状,名,名,铭,明,
646,M,暝,选择题,3选1,薄暮暝暝,暝暝,冥冥,暝暝,瞑瞑,
648,M,命,选择题,3选1,自命不凡,命,名,命,明,
651,M,膜,选择题,3选1,顶礼膜拜,膜,膜,摹,模,
652,M,摩,选择题,3选1,按摩,摩,磨,摹,摩,
653,M,摩,选择题,3选1,摩肩擦背,摩,摩,磨,膜,
654,M,摩,选择题,3选1,摩崖石刻,摩,磨,摩,膜,
655,M,摩,选择题,3选1,观摩教学,摩,磨,摩,膜,
656,M,末,选择题,3选1,穷途末路,末,末,没,莫,
657,M,蓦,选择题,3选1,蓦然,蓦,蓦,募,摩,
658,M,墨,选择题,3选1,墨守成规,墨,默,墨,莫,
659,M,牟,选择题,3选1,谋取牟利,牟,暴,牟,,
660,M,募,选择题,3选1,募捐,募,蓦,募,幕,
662,N,恼,选择题,3选1,恼羞成怒,恼,恼,脑,垴,
663,N,怒,选择题,3选1,金刚怒目,怒,怒,努,弩,
664,N,诺,选择题,3选1,一诺千金,诺,喏,诺,锘,
665,O,殴,选择题,3选1,殴打,殴,殴,欧,呕,
668,O,怄,选择题,3选1,怄气,怄,怄,呕,殴,
669,P,耙,选择题,3选1,倒打一耙,耙,耙,把,拔,
670,P,庖,选择题,3选1,越俎代庖,庖,包,庖,疱,
672,P,帔,选择题,3选1,凤冠霞帔,帔,帔,披,陂,
674,P,披,选择题,3选1,披沙拣金,披,披,帔,批,
675,P,劈,选择题,3选1,劈头盖脸,劈,辟,劈,僻,
677,P,品,选择题,3选1,品头品足,品品,评评,品品,频频,
679,P,屏,选择题,3选1,屏气凝神,屏,摒,屏,平,
680,P,叵,选择题,3选1,居心叵测,叵,叵,不,抔,
682,P,仆,选择题,3选1,前仆后继,仆,扑,仆,朴,
683,P,仆,选择题,3选1,风尘仆仆,仆仆,仆仆,扑扑,朴朴,
684,P,扑,选择题,3选1,扑朔迷离,扑,朴,仆,扑,
685,P,璞,选择题,3选1,浑玉璞金,璞,朴,仆,璞,
686,Q,其,选择题,3选1,出其不意,其,奇,崎,其,
687,Q,其,选择题,3选1,夸夸其谈,其,奇,崎,其,
688,Q,其,选择题,3选1,出其不意,其,其,崎,奇,
689,Q,棋,选择题,3选1,星罗棋布,棋,旗,琪,棋,
692,Q,气,选择题,3选1,气度不凡,气,器,气,汽,
693,Q,讫,选择题,3选1,起讫,讫,讫,迄,乞,
694,Q,迄,选择题,3选1,迄今为止,迄,讫,乞,迄,
697,Q,洽,选择题,3选1,洽商,洽,洽,恰,冾,
698,Q,洽,选择题,3选1,博识洽闻,洽,恰,洽,冾,
700,Q,歉,选择题,3选1,深致歉意,歉,欠,歉,芡,
701,Q,乔,选择题,3选1,乔装打扮,乔,乔,巧,桥,
706,Q,曲,选择题,3选1,委曲求全,曲,屈,曲,驱,
707,Q,曲,选择题,3选1,委曲婉转,曲,曲,屈,驱,
708,Q,屈,选择题,3选1,宁死不屈,屈,屈,曲,驱,
710,Q,屈,选择题,3选1,能屈能伸,屈,曲,驱,屈,
711,Q,券,选择题,3选1,稳操胜券,券,卷,券,倦,
714,Q,鹊,选择题,3选1,声名鹊起 ,鹊,雀,鹊,榷,
715,Q,榷,选择题,3选1,尚待商榷,榷,雀,确,榷,
716,R,然,选择题,3选1,防患未然,然,然,燃,嘫,
717,R,仁,选择题,3选1,麻木不仁,仁,忍,仁,人,
718,R,仁,选择题,3选1,当仁不让,仁,仁,人,任,
719,R,仁,选择题,3选1,为富不仁,仁,忍,仁,人,
720,R,仁,选择题,3选1,一视同仁,仁,人,仁,任,
721,R,荏,选择题,3选1,色厉内荏,荏,忍,荏,仁,
722,R,融,选择题,3选1,其乐融融,融融,溶溶,融融,容容,
724,R,融,选择题,3选1,春光融融,融融,溶溶,融融,容容,
728,R,孺,选择题,3选1,孺子可教,孺,儒,濡,孺,
729,R,濡,选择题,3选1,耳濡目染,濡,儒,濡,孺,
731,S,沙,选择题,3选1,泥沙俱下,沙,砂,沙,纱,
735,S,姗,选择题,3选1,姗姗来迟,姗姗,姗姗,跚跚,讪讪,
736,S,珊,选择题,3选1,意兴阑珊,珊,姗,珊,栅,
737,S,煽,选择题,3选1,煽风点火,煽,扇,煽,骟,
738,S,煽,选择题,3选1,煽动,煽,扇,煽,骟,
740,S,上,选择题,3选1,无上光荣,上,上,尚,赏,
741,S,尚,选择题,3选1,礼尚往来,尚,上,尚,赏,
744,S,申,选择题,3选1,引申义,申,伸,申,升,
745,S,申,选择题,3选1,三令五申,申,伸,申,升,
746,S,伸,选择题,3选1,延伸,伸,伸,申,升,
747,S,身,选择题,3选1,门里出身,身,生,身,升,
751,S,生,选择题,3选1,舍生取义,生,身,声,生,
755,S,生,选择题,3选1,老生常谈,生,声,身,生,
756,S,声,选择题,3选1,声东击西,声,伸,申,声,
757,S,声,选择题,3选1,严正声明,声,申,声,伸,
759,S,盛,选择题,3选1,盛况空前,盛,胜,盛,圣,
761,S,史,选择题,3选1,史无前例,史,史,士,世,
762,S,世,选择题,3选1,人情世故,世,事,士,世,
763,S,事,选择题,3选1,无事生非,事,是,事,士,
766,S,恃,选择题,3选1,恃才傲物,恃,持,恃,侍,
767,S,恃,选择题,3选1,有恃无恐,恃,持,恃,侍,
769,S,是,选择题,3选1,招惹是非,是,事,适,是,
770,S,是,选择题,3选1,各行其是,是,是,适,事,
771,S,适,选择题,3选1,适得其反,适,事,是,适,
772,S,适,选择题,3选1,无所适从,适,适,是,事,
776,S,抒,选择题,3选1,各抒己见,抒,抒,纾,书,
777,S,纾,选择题,3选1,毁家纾难,纾,纾,抒,书,
778,S,疏,选择题,3选1,仗义疏财,疏,疏,输,署,
779,S,赎,选择题,3选1,立功赎罪,赎,渎,赎,牍,
780,S,署,选择题,3选1,签署,署,蜀,署,曙,
781,S,署,选择题,3选1,公署,署,蜀,署,曙,
782,S,蜀,选择题,3选1,乐不思蜀,蜀,蜀,署,曙,
783,S,曙,选择题,3选1,曙色,曙,蜀,署,曙,
788,S,厮,选择题,3选1,厮杀,厮,撕,厮,斯,
789,S,悚,选择题,3选1,毛骨悚然,悚,悚,耸,怂,
790,S,耸,选择题,3选1,耸人听闻,耸,悚,耸,怂,
791,S,耸,选择题,3选1,危言耸听,耸,悚,耸,怂,
792,S,诵,选择题,3选1,传诵一时,诵,颂,诵,讼,
793,S,溯,选择题,3选1,追本溯源,溯,朔,溯,嗍,
795,T,沓,选择题,3选1,杂沓,沓,沓,踏,蹋,
796,T,沓,选择题,3选1,纷至沓来,沓,踏,蹋,沓,
797,T,塌,选择题,3选1,死心塌地,塌,踏,塌,榻,
802,T,堂,选择题,3选1,富丽堂皇,堂,堂,唐,塘,
803,T,陶,选择题,3选1,其乐陶陶,陶陶,陶陶,淘淘,涛涛,
805,T,提,选择题,3选1,提纲挈领,提,提,题,缇,
806,T,题,选择题,3选1,金榜题名,题,提,题,缇,
807,T,恬,选择题,3选1,恬不知耻,恬,恬,括,栝,
809,T,亭,选择题,3选1,亭亭玉立,亭亭,亭亭,婷婷,停停,
810,T,庭,选择题,3选1,大庭广众,庭,庭,廷,挺,
811,T,庭,选择题,3选1,门庭若市,庭,庭,廷,挺,
812,T,庭,选择题,3选1,大相径庭,庭,廷,庭,挺,
813,T,铤,选择题,3选1,铤而走险,铤,铤,挺,廷,
820,T,荼,选择题,3选1,如火如荼,荼,茶,荼,涂,
821,T,荼,选择题,3选1,荼毒生灵,荼,涂,荼,徒,
822,T,蜕,选择题,3选1,蜕化变质,蜕,退,蜕,褪,
823,T,托,选择题,3选1,推托生病,托,托,脱,拓,
824,T,脱,选择题,3选1,推脱责任,脱,托,脱,拓,
826,W,枉,选择题,3选1,枉费心机,枉,妄,忘,枉,
827,W,罔,选择题,3选1,置若罔闻,罔,罔,惘,莣,
829,W,妄,选择题,3选1,痴心妄想,妄,枉,妄,忘,
830,W,妄,选择题,3选1,无妄之灾,妄,妄,忘,望,
832,W,望,选择题,3选1,喜出望外,望,望,往,枉,
833,W,危,选择题,3选1,正襟危坐,危,危,威,微,
837,W,帷,选择题,3选1,运筹帷幄,帷,惟,帷,维,
860,W,温,选择题,3选1,不温不火,温,昷,温,揾,
862,W,文,选择题,3选1,文过饰非,文,文,闻,纹,
863,W,文,选择题,3选1,不名一文,文,文,闻,纹,
864,W,纹,选择题,3选1,波纹,纹,文,闻,纹,
865,W,闻,选择题,3选1,闻过则喜,闻,文,闻,纹,
869,W,乌,选择题,3选1,乌合之众,乌,污,乌,吾,
872,E,恶,选择题,3选1,除恶勿尽,恶,务,恶,厄,
876,X,皙,选择题,3选1,白皙,皙,晰,皙,淅,
877,X,嬉,选择题,3选1,文恬武嬉,嬉,嘻,嬉,禧,
880,X,遐,选择题,3选1,遐迩闻名,遐,遐,瑕,暇,
881,X,暇,选择题,3选1,目不暇接,暇,瑕,瑕,暇,
882,X,暇,选择题,3选1,应接不暇,暇,暇,遐,瑕,
885,X,现,选择题,3选1,昙花一现,现,现,献,显,
886,X,现,选择题,3选1,丢人现眼,现,显,献,现,
887,X,现,选择题,3选1,现身说法,现,现,显,献,
888,X,相,选择题,3选1,照相机,相,象,像,相,
889,X,相,选择题,3选1,真相大白,相,象,像,相,
891,X,祥,选择题,3选1,不祥之兆,祥,祥,详,降,
894,X,象,选择题,3选1,万象更新,象,象,相,像,
899,X,销,选择题,3选1,销声匿迹,销,销,消,霄,
902,X,潇,选择题,3选1,风雨潇潇,潇潇,萧萧,潇潇,消消,
903,X,霄,选择题,3选1,响彻云霄,霄,霄,宵,潇,
907,X,胁,选择题,3选1,胁从不问,胁,胁,协,挟,
909,X,携,选择题,3选1,扶老携幼,携,偕,携,挟,
910,X,泄,选择题,3选1,水泄不通,泄,泻,懈,泄,
911,X,泻,选择题,3选1,一泻千里,泻,泄,懈,泻,
912,X,懈,选择题,3选1,无懈可击,懈,泄,懈,泻,
916,X,惺,选择题,3选1,惺惺作态,惺惺,猩猩,惺惺,星星,
917,X,汹,选择题,3选1,气势汹汹,汹汹,汹汹,凶凶,讻讻,
920,X,秀,选择题,3选1,不郎不秀,秀,莠,秀,绣,
921,X,嘘,选择题,3选1,自我嘘嘘,嘘嘘,吹吁,嘘嘘,须须,
922,X,嘘,选择题,3选1,嘘寒问暖,嘘,吁,嘘,须,
923,X,栩,选择题,3选1,栩栩如生,栩栩,诩诩,栩栩,煦煦,
944,Y,恹,选择题,3选1,恹恹欲睡,恹恹,厌厌,恹恹,炎炎,
950,Y,赝,选择题,3选1,赝品,赝,膺,赝,魇,
969,Y,耀,选择题,3选1,耀武扬威,耀,耀,跃,曜,
971,Y,曳,选择题,3选1,弃甲曳兵,曳,拽,曳,曵,
972,Y,腋,选择题,3选1,集腋成裘,腋,腋,液,掖,
974,Y,揖,选择题,3选1,开门揖盗,揖,缉,揖,偮,
978,Y,贻,选择题,3选1,贻笑大方,贻,遗,贻,宜,
979,Y,贻,选择题,3选1,贻害无穷,贻,贻,遗,以,
1016,Y,意,选择题,3选1,意气用事,意,义,议,意,
1017,Y,意,选择题,3选1,意气风发,意,意,议,义,
1018,Y,意,选择题,3选1,词不达意,意,义,意,议,
1024,Y,臆,选择题,3选1,直抒胸臆,臆,臆,意,噫,
1025,Y,因,选择题,3选1,陈陈相因,因,因,应,营,
1026,Y,茵,选择题,3选1,绿草如茵,茵,荫,阴,茵,
1027,Y,荫,选择题,3选1,绿树成荫,荫,荫,阴,茵,
1029,Y,垠,选择题,3选1,一望无垠,垠,银,荫,垠,
1030,Y,隐,选择题,3选1,隐隐约约,隐隐,影影,隐隐,阴阴,
1031,Y,印,选择题,3选1,心心相印,印,映,应,印,
1032,Y,应,选择题,3选1,连锁反应,应,映,应,印,
1034,Y,影,选择题,3选1,影影绰绰,影影,隐隐,影影,阴阴,
1035,Y,拥,选择题,3选1,蜂拥而至,拥,拥,踊,涌,
1036,Y,拥,选择题,3选1,一拥而入,拥,涌,踊,拥,
1037,Y,庸,选择题,3选1,毋庸讳言,庸,庸,用,拥,
1039,Y,壅,选择题,3选1,壅塞不通,壅,拥,壅,涌,
1040,Y,俑,选择题,3选1,始作俑者,俑,踊,涌,俑,
1043,Y,优,选择题,3选1,优柔寡断,优,犹,攸,优,
1056,Y,尤,选择题,3选1,怨天尤人,尤,尤,龙,犹,
1057,Y,尤,选择题,3选1,无耻之尤,尤,尤,龙,犹,
1058,Y,犹,选择题,3选1,过犹不及,犹,尤,龙,犹,
1059,Y,犹,选择题,3选1,困兽犹斗,犹,尤,龙,犹,
1061,Y,囿,选择题,3选1,囿于成见,囿,宥,囿,侑,
1062,Y,予,选择题,3选1,生杀予夺,予,与,予,于,
1063,Y,予,选择题,3选1,不予置评,予,与,予,矛,
1074,Y,吁,选择题,3选1,气喘吁吁,吁吁,吁吁,嘘嘘,须须,
1075,Y,吁,选择题,3选1,长吁短叹,吁,嘘,吁,须,
1076,Y,喻,选择题,3选1,不言而喻,喻,语,喻,育,
1079,Y,毓,选择题,3选1,钟灵毓秀,毓,毓,玉,钰,
1081,Y,元,选择题,3选1,大伤元气,元,元,原,源,
1082,Y,员,选择题,3选1,幅员辽阔,员,员,圆,园,
1086,Y,远,选择题,3选1,源远流长,远,源,远,园,
1088,Y,芸,选择题,3选1,芸芸众生,芸芸,纭纭,芸芸,云云,
1089,Y,殒,选择题,3选1,殒身不恤,殒,殒,陨,郧,
1101,Z,凿,选择题,3选1,言之凿凿,凿凿,凿凿,足足,慥慥,
1102,Z,燥,选择题,3选1,燥热,燥,躁,燥,噪,
1103,Z,燥,选择题,3选1,口干舌燥,燥,燥,躁,噪,
1104,Z,躁,选择题,3选1,不骄不躁,躁,燥,躁,噪,
1105,Z,则,选择题,3选1,以身作则,则,则,责,择,
1108,Z,沾,选择题,3选1,沾沾自喜,沾沾,玷玷,沾沾,粘粘,
1109,Z,沾,选择题,3选1,沾亲带故,沾,玷,沾,粘,
1115,Z,仗,选择题,3选1,明火执仗,仗,杖,仗,帐,
1118,Z,胀,选择题,3选1,热胀冷缩,胀,涨,胀,仗,
1128,Z,振,选择题,3选1,重振旗鼓,振,整,振,震,
1129,Z,振,选择题,3选1,振聋发聩,振,震,振,整,
1130,Z,振,选择题,3选1,振振有词,振振,震震,振振,阵阵,
1133,Z,震,选择题,3选1,震撼,震,震,振,阵,
1173,Z,仲,选择题,3选1,仲裁,仲,仲,中,重,
1174,Z,州,选择题,3选1,九州方圆,州,洲,州,舟,
1176,Z,皱,选择题,3选1,皱纹,皱,皱,绉,诌,
1179,Z,诸,选择题,3选1,付诸东流,诸,之,诸,至,
1180,Z,伫,选择题,3选1,伫立,伫,伫,贮,驻,
1181,Z,撞,选择题,3选1,招摇撞骗,撞,装,撞,幢,
1182,Z,坠,选择题,3选1,摇摇欲坠,坠,堕,坠,赘,
1183,Z,惴,选择题,3选1,惴惴不安,惴惴,揣揣,惴惴,缀缀,
1186,Z,拙,选择题,3选1,心劳日拙,拙,拙,绌,灼,
1187,Z,灼,选择题,3选1,真知灼见,灼,灼,卓,拙,
1189,Z,宗,选择题,3选1,开宗明义,宗,宗,中,综,
1190,Z,宗,选择题,3选1,万变不离其宗,宗,中,宗,综,
1191,Z,足,选择题,3选1,足智多谋,足,卓,足,助,
1194,Z,左,选择题,3选1,虚左以待,左,左,座,坐,
1195,Z,作,选择题,3选1,一鼓作气,作,足,作,做,
1196,Z,坐,选择题,3选1,坐落,坐,座,坐,作,
1197,Z,坐,选择题,3选1,坐标系,坐,坐,座,作,
1198,Z,座,选择题,3选1,座右铭,座,坐,座,作,
13,A,遨,选择题,4选1,遨游,遨,遨,翱,敖,嗷
14,A,翱,选择题,4选1,翱翔,翱,翱,遨,敖,嗷
15,A,鳌,选择题,4选1,独占鳌头,鳌,鳌,螯,熬,傲
16,A,奥,选择题,4选1,文辞奥博,奥,奥,敖,澳,懊
17,A,奥,选择题,4选1,奥妙无穷,奥,奥,敖,澳,懊
18,A,奥,选择题,4选1,奥秘,奥,奥,敖,澳,懊
19,A,奥,选择题,4选1,深奥,奥,奥,敖,澳,懊
20,A,骜,选择题,4选1,桀骜不驯,骜,傲,骜,敖,嗷
21,A,澳,选择题,4选1,进口澳毛,澳,奥,敖,澳,懊
22,A,懊,选择题,4选1,懊丧,懊,奥,敖,澳,懊
23,A,懊,选择题,4选1,懊悔不已,懊,奥,敖,澳,懊
29,B ,坂,选择题,4选1,坂上走丸,坂,坂,板,扳,版
37,B ,暴,选择题,4选1,暴乱,暴,瀑,曝,爆,暴
38,B ,暴,选择题,4选1,暴躁,暴,爆,暴,瀑,曝
39,B ,暴,选择题,4选1,暴发户,暴,爆,瀑,曝,暴
40,B ,暴,选择题,4选1,山洪暴发,暴,暴,瀑,曝,爆
42,B ,暴,选择题,4选1,自暴自弃,暴,曝,瀑,曝,暴
45,B ,碑,选择题,4选1,有口皆碑,碑,杯,碑,卑,椑
46,B ,备,选择题,4选1,推崇备至,备,倍,备,背,辈
47,B ,备,选择题,4选1,关怀备至,备,备,背,辈,倍
48,B ,备,选择题,4选1,备受欢迎,备,倍,备,辈,被
49,B ,备,选择题,4选1,艰苦备尝,备,备,背,辈,倍
50,B ,倍,选择题,4选1,英雄倍出,倍,辈,备,倍,被
53,B ,毕,选择题,4选1,凶相毕露,毕,必,毕,避,闭
54,B ,毕,选择题,4选1,原形毕露,毕,必,避,闭,毕
59,B ,敝,选择题,4选1,民生凋敝,敝,敝,蔽,弊,鄙
61,B ,愎,选择题,4选1,刚愎自用,愎,裨,稗,脾,愎
62,B ,裨,选择题,4选1,大有裨益,裨,裨,稗,脾,啤
63,B ,辟,选择题,4选1,辟谣,辟,辟,劈,僻,避
64,B ,辟,选择题,4选1,鞭辟入里,辟,辟,僻,避,劈
65,B ,辟,选择题,4选1,独辟蹊径,辟,辟,僻,避,劈
66,B ,辟,选择题,4选1,开天辟地,辟,辟,劈,僻,避
69,B ,壁,选择题,4选1,坚壁清野,壁,辟,壁,碧,璧
70,B ,壁,选择题,4选1,壁垒森严,壁,辟,壁,碧,璧
78,B ,彪,选择题,4选1,彪柄千古,彪,彪,标,飚,裱
80,B ,膘,选择题,4选1,膘肥体壮,膘,骠,膘,瞟,镖
81,B ,镳,选择题,4选1,分道扬镳,镳,镳,标,镖,飚
82,B ,播,选择题,4选1,掂斤播两,播,播,拨,博,搏
83,B ,博,选择题,4选1,地大物博,博,搏,播,博,薄
84,B ,搏,选择题,4选1,脉搏微弱,搏,搏,播,博,薄
85,B ,补,选择题,4选1,大有补益,补,布,补,步,部
86,B ,捕,选择题,4选1,捕食昆虫,捕,捕,哺,埔,补
87,B ,布,选择题,4选1,布防,布,布,补,步,部
88,B ,布,选择题,4选1,布设,布,布,补,步,部
89,B ,布,选择题,4选1,除旧布新,布,布,补,步,部
90,B ,布,选择题,4选1,开诚布公,布,布,不,步,部
91,B ,部,选择题,4选1,军事部署,部,布,部,补,步
92,B ,部,选择题,4选1,按部就班,部,步,补,步,部
93,B ,部,选择题,4选1,部署已定,部,部,补,步,布
104,C,采,选择题,4选1,兴高采烈,采,采,彩,踩,睬
105,C,采,选择题,4选1,神采飞扬,采,采,踩,睬,彩
106,C,采,选择题,4选1,风采动人,采,采,踩,睬,彩
107,C,釆,选择题,4选1,无精打釆,釆,彩,釆,踩,睬
114,C,沧,选择题,4选1,沧海桑田,沧,沧,苍,仓,舱
115,C,苍,选择题,4选1,苍茫大海,苍,苍,仓,舱,沧
116,C,恻,选择题,4选1,恻隐之心,恻,测,恻,侧,则
117,C,恻,选择题,4选1,缠绵悱恻,恻,恻,侧,测,则
120,C,伥,选择题,4选1,为虎作伥,伥,昌,猖,伥,怅
121,C,昌,选择题,4选1,昌盛,昌,昌,猖,伥,怅
122,C,猖,选择题,4选1,猖獗,猖,昌,猖,伥,怅
125,C,尝,选择题,4选1,艰苦备尝,尝,常,偿,尝,长
126,C,尝,选择题,4选1,尝试,尝,常,偿,尝,长
127,C,偿,选择题,4选1,无偿援助,偿,常,偿,尝,长
130,C,彻,选择题,4选1,洞彻事理,彻,撤,彻,掣,澈
131,C,掣,选择题,4选1,风驰电掣,掣,撤,彻,掣,澈
132,C,掣,选择题,4选1,相互掣肘,掣,撤,彻,掣,澈
133,C,撤,选择题,4选1,撤编,撤,撤,彻,掣,澈
134,C,澈,选择题,4选1,清澈,澈,撤,彻,掣,澈
144,C,成,选择题,4选1,一成不变,成,层,成,承,程
145,C,成,选择题,4选1,相辅相成,成,成,承,程,层
146,C,成,选择题,4选1,墨守成规,成,成,诚,程,陈
147,C,承,选择题,4选1,一脉相承,承,成,程,承,陈
148,C,诚,选择题,4选1,推诚相见,诚,诚,层,程,陈
149,C,程,选择题,4选1,计日程功,程,成,承,层,程
151,C,弛,选择题,4选1,纲纪废弛,弛,弛,驰,池,迟
152,C,弛,选择题,4选1,一张一弛,弛,驰,弛,池,迟
153,C,齿,选择题,4选1,人所不齿,齿,齿,耻,侈,啮
157,C,筹,选择题,4选1,一筹莫展,筹,愁,筹,畴,踌
158,C,酬,选择题,4选1,报酬,酬,酬,踌,畴,筹
159,C,绌,选择题,4选1,相形见绌,绌,拙,础,绌,黜
160,C,黜,选择题,4选1,罢黜百家,黜,黜,绌,拙,础
161,C,川,选择题,4选1,川流不息,川,穿,川,串,汌
162,C,穿,选择题,4选1,百步穿杨,穿,穿,川,汌,串
163,C,垂,选择题,4选1,垂询,垂,捶,锤,垂,唾
164,C,垂,选择题,4选1,功败垂成,垂,捶,锤,垂,唾
165,C,垂,选择题,4选1,垂暮之年,垂,捶,锤,垂,唾
166,C,陲,选择题,4选1,边陲,陲,捶,陲,垂,唾
167,C,捶,选择题,4选1,捶胸顿足,捶,捶,锤,垂,唾
168,C,捶,选择题,4选1,捶打,捶,捶,锤,垂,唾
169,C,锤,选择题,4选1,锤炼,锤,捶,锤,垂,唾
170,C,锤,选择题,4选1,千锤百炼,锤,捶,锤,垂,唾
196,C,促,选择题,4选1,大力促成,促,蹴,促,悴,猝
197,C,促,选择题,4选1,局促不安,促,蹴,促,悴,猝
198,C,促,选择题,4选1,促膝谈心,促,蹴,促,悴,猝
199,C,促,选择题,4选1,急促,促,蹴,促,悴,猝
200,C,猝,选择题,4选1,猝不及防,猝,蹴,促,悴,猝
201,C,猝,选择题,4选1,猝然死亡,猝,蹴,促,悴,猝
203,C,萃,选择题,4选1,出类拔萃,萃,萃,瘁,淬,粹
204,C,瘁,选择题,4选1,鞠躬尽瘁,瘁,瘁,淬,萃,粹
205,C,粹,选择题,4选1,保护国粹,粹,萃,粹,瘁,淬
206,C,搓,选择题,4选1,搓揉,搓,搓,撮,蹉,磋
207,C,搓,选择题,4选1,搓弄手绢,搓,搓,撮,蹉,磋
208,C,搓,选择题,4选1,搓洗,搓,搓,撮,蹉,磋
209,C,搓,选择题,4选1,搓手,搓,搓,撮,蹉,磋
210,C,磋,选择题,4选1,切磋琢磨,磋,磋,蹉,撮,搓
211,C,磋,选择题,4选1,磋商,磋,搓,撮,蹉,磋
212,C,磋,选择题,4选1,磋磨,磋,搓,撮,蹉,磋
213,C,撮,选择题,4选1,撮合,撮,搓,撮,蹉,磋
214,C,蹉,选择题,4选1,蹉跎,蹉,搓,撮,蹉,磋
129,C,彻,选择题,4选1,彻头彻尾,彻彻,撤撤,彻彻,掣掣,澈澈
217,D,代,选择题,4选1,代沟,代,带,代,待,戴
